Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1930,Group 1,Pocitos,France,4,1,Mexico,LOMBARDI Domingo (URU),FRA,MEX
1930,Group 4,Parque Central,USA,3,0,Belgium,MACIAS Jose (ARG),USA,BEL
1930,Group 2,Parque Central,Yugoslavia,2,1,Brazil,TEJADA Anibal (URU),YUG,BRA
1930,Group 3,Pocitos,Romania,3,1,Peru,WARNKEN Alberto (CHI),ROU,PER
1930,Group 1,Parque Central,Argentina,1,0,France,REGO Gilberto (BRA),ARG,FRA
1930,Group 1,Parque Central,Chile,3,0,Mexico,CRISTOPHE Henry (BEL),CHI,MEX
1930,Group 2,Parque Central,Yugoslavia,4,0,Bolivia,MATEUCCI Francisco (URU),YUG,BOL
1930,Group 4,Parque Central,USA,3,0,Paraguay,MACIAS Jose (ARG),USA,PAR
1930,Group 3,Estadio Centenario,Uruguay,1,0,Peru,LANGENUS Jean (BEL),URU,PER
1930,Group 1,Estadio Centenario,Chile,1,0,France,TEJADA Anibal (URU),CHI,FRA
1930,Group 1,Estadio Centenario,Argentina,6,3,Mexico,SAUCEDO Ulises (BOL),ARG,MEX
1930,Group 2,Estadio Centenario,Brazil,4,0,Bolivia,BALWAY Thomas (FRA),BRA,BOL
1930,Group 4,Estadio Centenario,Paraguay,1,0,Belgium,VALLARINO Ricardo (URU),PAR,BEL
1930,Group 3,Estadio Centenario,Uruguay,4,0,Romania,REGO Gilberto (BRA),URU,ROU
1930,Group 1,Estadio Centenario,Argentina,3,1,Chile,LANGENUS Jean (BEL),ARG,CHI
1930,Semi-finals,Estadio Centenario,Argentina,6,1,USA,LANGENUS Jean (BEL),ARG,USA
1930,Semi-finals,Estadio Centenario,Uruguay,6,1,Yugoslavia,REGO Gilberto (BRA),URU,YUG
1930,Final,Estadio Centenario,Uruguay,4,2,Argentina,LANGENUS Jean (BEL),URU,ARG
1934,Preliminary round,Stadio Benito Mussolini,Austria,3,2,France,VAN MOORSEL Johannes (NED),AUT,FRA
1934,Preliminary round,Giorgio Ascarelli,Hungary,4,2,Egypt,BARLASSINA Rinaldo (ITA),HUN,EGY
1934,Preliminary round,San Siro,Switzerland,3,2,Netherlands,EKLIND Ivan (SWE),SUI,NED
1934,Preliminary round,Littorale,Sweden,3,2,Argentina,BRAUN Eugen (AUT),SWE,ARG
1934,Preliminary round,Giovanni Berta,Germany,5,2,Belgium,MATTEA Francesco (ITA),GER,BEL
1934,Preliminary round,Luigi Ferraris,Spain,3,1,Brazil,BIRLEM Alfred (GER),ESP,BRA
1934,Preliminary round,Nazionale PNF,Italy,7,1,USA,MERCET Rene (SUI),ITA,USA
1934,Preliminary round,Littorio,Czechoslovakia,2,1,Romania,LANGENUS Jean (BEL),TCH,ROU
